country,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Тайвань,3k64vNcgYPkETG7TNgpW4o,Vaundy,裸の勇者,0.442,0.888,9,-5.747,0,0.121,0.0127,0.000727,0.2,0.435,163.032,201973,4
Тайвань,43c9CY9id50bqUKwY9MXDn,姜云升,孤独面店,0.759,0.631,8,-10.372,0,0.218,0.58,0.0,0.116,0.283,103.962,192175,4
Тайвань,6Nw6XxOGVgKPOgi8LidyPq,Kim Kyung Hee,Our Beloved Summer,0.528,0.564,11,-8.236,1,0.0444,0.389,9.32e-06,0.102,0.433,98.907,192467,4
Тайвань,1OQ3PoRZRtE7RH0NIh3p1O,10cm,Drawer,0.359,0.469,7,-8.06,1,0.0326,0.745,0.0,0.101,0.259,84.366,237267,4
Тайвань,7uyg2rrUOlwE6tGtitXOJC,懋懋,百年孤寂,0.575,0.342,3,-8.102,1,0.0282,0.674,0.0,0.13,0.203,134.063,256096,4
Тайвань,6ZiEWet0uFRwWBCEKCQ8rY,King Gnu,逆夢,0.204,0.708,1,-5.425,1,0.0458,0.442,0.0,0.319,0.278,83.443,307667,4
Тайвань,3jdy4aOla1dwYIqwp69JJN,NICKTHEREAL,愛上你算我賤,0.478,0.738,6,-4.464,0,0.0414,0.00432,0.0,0.154,0.353,163.994,250942,4
Тайвань,2TZTpkpnDIKUOfU6riqCfE,TAEYEON,Can't Control Myself,0.626,0.681,4,-2.979,1,0.0377,0.0263,0.0,0.453,0.229,85.044,181600,4
Тайвань,3t4KHjd8uQpJJ2fa0fRIpR,The Chainsmokers,High,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,175163,4
Тайвань,7nzeXeYunYlkbiQFovz17s,三叔说,海市蜃楼,0.672,0.628,8,-6.628,0,0.0304,0.156,1.32e-05,0.0843,0.228,120.008,232000,4
Тайвань,1HbQHiNOrQY69QstTUbuTm,美秀集團,還是會寂寞 - 滾石40 滾石撞樂隊 40團拚經典 (原唱:陳綺貞),0.533,0.659,11,-7.766,1,0.0584,0.0813,0.000752,0.319,0.573,90.007,245333,4
Тайвань,3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,185681,4
Тайвань,4LwU4Vp6od3Sb08CsP99GC,Dr. Dre,The Next Episode,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,161507,4
Тайвань,7ncPjJBktLEOpstY5JOUMK,King Gnu,一途,0.5,0.964,2,-4.19,1,0.124,0.00723,6.2e-05,0.0557,0.662,159.971,190607,4
Тайвань,3ArEbqu5lDzj2NevwMqcOT,Matt Lv,Fly,0.751,0.375,1,-8.472,0,0.322,0.191,0.0,0.0977,0.508,120.118,220222,4
Тайвань,7v8wKvNQQIxkugCFFjrkaO,Aimer,残響散歌,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,184893,4
Тайвань,2y2pYNWONj7dodKJLsEI8U,李佳隆,Room,0.588,0.681,9,-5.115,1,0.0372,0.545,1.33e-06,0.141,0.407,148.021,160541,4
Тайвань,7uzmxEjFEAiadiCCXa0bhi,Coogie,Good Night (Feat. BE'O),0.695,0.473,11,-7.055,1,0.274,0.251,0.0,0.148,0.665,80.017,190813,4
Тайвань,5JnIBmclrhGVxE0fL9iFnJ,和平和浪,一輩子的孤單 - 滾石40 滾石撞樂隊 40團拚經典 (原唱:劉若英),0.681,0.723,0,-5.697,0,0.0423,0.0183,0.000908,0.263,0.685,111.998,222208,4
Тайвань,0cFCIaOUszEos2e3ynbp8b,Eiko Ishibashi,"We'll live through the long, long days, and through the long nights",0.233,0.277,1,-16.049,1,0.0305,0.292,0.882,0.115,0.0399,110.826,235971,4
Тайвань,6jNy9WM3zyvG9E5bdVALl8,告五人,好不容易 (《華燈初上》片尾曲),0.382,0.543,4,-5.938,0,0.0345,0.313,2.1e-05,0.268,0.166,173.652,295466,4
Тайвань,3xRH6FPVtheDyNla3T1FE7,Muni Long,Hrs and Hrs,0.511,0.525,8,-4.595,0,0.183,0.604,0.0,0.111,0.661,139.885,204317,3
Тайвань,6Fxu7mucL5WgEq6QJAyRDh,大成 DACHENG,FEEL,0.633,0.591,0,-4.746,1,0.0372,0.528,0.0,0.14,0.373,82.008,179268,4
Тайвань,79nEEoEPY2w8EXj9hjn5oc,Yung Lean,Ginseng Strip 2002,0.601,0.712,1,-9.433,1,0.0431,0.0848,0.0,0.479,0.386,114.998,154000,4
Тайвань,1Y6Ra2erZ6Mru0JOcJBSzK,我是土豆,门没锁,0.864,0.709,11,-6.034,1,0.0302,0.598,3.8e-05,0.0857,0.93,116.953,194872,4
Тайвань,13NU8nCYP1FjwGdw1fJHsF,林昱君,我討厭台北的天氣,0.79,0.696,8,-5.94,1,0.0346,0.721,4.44e-05,0.237,0.667,120.171,202421,4
Тайвань,07plVccQ0N6FTTTonk3c2M,EggPlantEgg,閣愛妳一擺,0.552,0.78,7,-5.106,1,0.0475,0.0473,0.0,0.152,0.557,133.921,278010,4
Турция,4tJa4Vbru9vnEj1IV9aaX1,Sezer Sarıgöz,Ne Ay Geceden,0.602,0.392,1,-11.444,0,0.0331,0.46,0.0,0.111,0.451,135.033,199111,4
Турция,2pTwhAbZHkM1CyDYe1k8hl,Berk Baysal,Yaralarını Ben Sarayım,0.578,0.298,9,-14.289,0,0.0281,0.595,0.000139,0.119,0.321,139.993,238356,4
Турция,5Qf8dlJ2zZTfztx7o7kbDN,Semicenk,Düşer Aklıma,0.706,0.418,8,-8.63,1,0.0906,0.0564,6.61e-05,0.0933,0.319,161.918,160000,4
Турция,5gflgO9EPbIBf16n5TKnQS,Zion & Lennox,Yo Voy (feat. Daddy Yankee),0.808,0.697,10,-5.899,1,0.241,0.041,0.0,0.0546,0.554,95.06,232020,4
Турция,4lUCGzdlDA2xqBTZMtYwRg,Zena,ananinamcu,0.874,0.422,4,-12.62,0,0.0513,0.0856,0.212,0.0797,0.371,111.992,108634,4
Турция,6zQPRiKYLdpAIn5HDtzDYc,Jamie Muscato,Meant to be Yours,0.552,0.632,6,-6.364,0,0.0962,0.398,0.0,0.227,0.464,97.998,210440,3
Турция,01sVs2iMC2HwuZJx1HjW1h,Alper Erozer,Kürdandan Kolları Var,0.717,0.625,7,-10.683,0,0.0671,0.444,2.41e-06,0.447,0.465,112.049,154286,4
Турция,38CwybVk0CqbTovp3aWtEZ,Clower,Papa Rose,0.757,0.853,6,-5.876,0,0.0917,0.217,0.0422,0.127,0.816,141.95,148727,4
Турция,2vQ5HpRpn8S2qlrZbLsaFr,Elli Eli,I Got Summer on My Mind,0.641,0.632,9,-7.464,0,0.0394,0.298,0.0,0.114,0.346,93.387,205055,4
Турция,4xDwCYhobDehSBGUmd5H6Y,The Plot In You,FEEL NOTHING,0.448,0.825,4,-5.307,0,0.0621,0.00353,0.0,0.108,0.226,144.17,216827,4
Турция,65rZ14tzeqhj0AkDuLqMju,Mceyn,Sütü Çilekli,0.865,0.786,8,-6.463,0,0.203,0.0694,0.0999,0.112,0.77,120.027,100000,4
Турция,79nEEoEPY2w8EXj9hjn5oc,Yung Lean,Ginseng Strip 2002,0.601,0.712,1,-9.433,1,0.0431,0.0848,0.0,0.479,0.386,114.998,154000,4
Турция,0caOVGUnh1jBFtIWm2r49e,Burakrhyme,Unutulanlar,0.529,0.807,4,-7.004,0,0.208,0.00832,5.26e-05,0.332,0.17,90.797,212300,4
Турция,6UR5tB1wVm7qvH4xfsHr8m,Carla Morrison,Disfruto,0.658,0.133,1,-11.254,0,0.0352,0.901,0.0,0.106,0.122,91.054,244973,4
Турция,63PJ7AVOjL5WcaYmPxiblX,Kahraman Deniz,Son Durağın,0.609,0.521,1,-10.147,0,0.0415,0.0537,4.98e-06,0.137,0.684,126.016,236631,4
Турция,5kpkEb0M49YM516trGUSWS,Rei 6,Ah Canım Sevgilim - Demo,0.471,0.227,0,-11.568,1,0.0539,0.873,0.0,0.159,0.3,116.871,190055,4
Турция,3jU4rKGZWIV4k5Q2yaBcYj,Sehabe,Sarılsak Geçer Gibiydi,0.585,0.587,5,-8.491,0,0.052,0.594,0.0,0.103,0.22,136.19,176475,4
Турция,0pUW62L4zefisQHkkHa7MY,Skapova,Ben Senden Vazgeçtim,0.254,0.611,9,-9.834,0,0.0458,0.0311,0.000756,0.0987,0.133,93.029,219194,4
Турция,0RgQvP81o1AfByPluVSBTj,Arap Şükrü,Gönül Sayfam,0.519,0.831,10,-6.049,1,0.0466,0.588,4.33e-05,0.246,0.167,122.693,505162,4
Турция,77N4xI9QubrJfQHAjNRoL7,Maho,Aklıma Kalbime Her Gelişinde,0.83,0.603,1,-7.069,1,0.102,0.028,7.7e-05,0.0916,0.447,102.051,145294,4
Турция,3lSuzS3jEkys1ZXw4tAcRR,Sefo,Affettim,0.723,0.726,3,-4.838,0,0.214,0.763,0.0,0.148,0.701,174.083,199453,4
Турция,7dvt5DT77W7neWuCfCUOYV,Derya Uluğ,Sana Çıkıyor Yollar - Kaderimin Oyunu Orijinal Dizi Müziği,0.349,0.557,5,-7.575,0,0.0491,0.404,0.0,0.347,0.408,157.557,229135,4
Турция,2GqCEJpzmD81AJ2H0Hyz5T,MC Kaique da VP,Taca a Xereca pra Mim,0.953,0.449,1,-7.409,1,0.061,0.0184,0.0,0.123,0.491,130.04,260833,4
Турция,4iwiYqzoLImJraKQ9Pf2I2,Goya Menor,Ameno Amapiano Remix (You Wanna Bamba),0.807,0.898,6,-5.837,0,0.0393,0.188,0.000395,0.0824,0.743,112.998,227101,4
Турция,4gc9Vy8b38MmAKJ6LzzddX,Nasıl Derler Bilirsin,Sevilmemişim,0.638,0.526,9,-9.235,0,0.0309,0.146,0.00611,0.273,0.715,91.995,193043,4
Турция,0VJuKLuvh1DqG2VEMsrQds,Shanga,Şarkılar Sokaklara Ait,0.785,0.446,7,-12.14,1,0.102,0.334,0.0,0.114,0.248,126.53,193440,5
Турция,4C2BEVMCOoTRYLQdxumczm,Nilüfer,Son Arzum,0.427,0.442,5,-7.8,0,0.057,0.748,0.0,0.212,0.305,82.085,206427,4
Турция,22xZyUMKiPPYshak6ixabl,WhiteBuffs,Meet Me in The Pale Moonlight,0.58,0.66,10,-6.942,0,0.0346,0.163,0.0,0.826,0.64,93.564,202537,4
Турция,5mYWN3KP5LHzhlLpkORW7e,Bedo,Yalan,0.676,0.55,5,-9.749,0,0.0276,0.298,0.349,0.114,0.328,123.969,143818,4
Турция,3NFMLi0FhAkxZNPs1UhYtB,Motive,KALA KAL,0.651,0.594,7,-7.765,0,0.0832,0.226,0.0,0.119,0.288,97.018,159588,4
Турция,0AAQxXULgYUUB35fVA7An2,Stephen Burciva,Torba Bomba,0.669,0.877,6,-2.858,0,0.176,0.0916,0.0217,0.197,0.384,140.033,164582,4
Турция,3klG6fu28FrU9nNcBNX1lv,Motive,MASAL,0.471,0.59,4,-7.829,0,0.229,0.652,8.97e-05,0.186,0.392,125.672,171789,5
Турция,64GQRJBfPjOwsjMyLehmjc,Metehan Polat,Ceylan Gözlüm,0.582,0.348,2,-11.526,0,0.459,0.859,0.0,0.166,0.716,128.578,115000,1
Турция,16wVY2lWuqBjjPrpTa6KSN,Mavi Gri,Dünyanın En Güzel Kızı,0.522,0.804,6,-7.61,0,0.0441,0.00881,0.00026,0.266,0.778,159.856,217687,4
Турция,6YYeBYEpkiR84eCDNPBDoF,Ryan McCartan,Meant to Be Yours,0.505,0.589,6,-6.916,1,0.0852,0.514,0.0,0.058,0.585,99.648,205827,4
Турция,1utdnKaGkhJLpFUYkjJ73W,Alba,Bi Sigara,0.654,0.494,1,-9.465,0,0.0443,0.339,0.0,0.143,0.149,123.935,158710,4
Турция,6wfb4nI2Vih263JqC8WSoW,Anıl Emre Daldal,M.,0.575,0.366,1,-13.644,0,0.0281,0.568,0.957,0.129,0.444,100.004,223750,4
Турция,4isvbvf2Mts3AiGQVZjQbI,FAİT,Yaz Günü Speed,0.78,0.63,10,-9.945,0,0.11,0.0145,3.95e-06,0.0887,0.781,122.43,188891,4
Турция,0fXb7lbTyUowDa1KXnkO2T,Aynur Aydın,Bana Aşk Ver,0.702,0.865,7,-6.529,1,0.0675,0.0139,0.000365,0.131,0.699,127.968,188755,4
Турция,6HwKQfoimtPLMmvYAduJ7O,Skapova,Sen Bana Aitsin,0.17,0.59,9,-9.553,1,0.0531,0.139,0.0403,0.226,0.251,173.903,237311,4
Турция,4iD8eVmmxyTVTdDkg1io48,Cxenty,Gonder Gelsin,0.757,0.902,10,-12.276,1,0.53,0.667,0.0,0.317,0.798,140.004,104025,4
Турция,4JyBbfwsBtU6nr83nhW2ZX,Deniz Zeren,Olmadı,0.789,0.764,5,-3.399,0,0.0312,0.214,0.0,0.087,0.523,122.062,156000,4
Турция,2fgsTIpGlD5odlua0y7gIQ,Sinéad O'Connor,Drink Before the War,0.508,0.265,8,-12.254,0,0.0316,0.537,0.0046,0.15,0.0973,123.936,323133,4
Турция,4EGudVZdKdhgZAobackapy,yunusemre,imkansız bir aşk denir,0.611,0.331,8,-12.92,0,0.0379,0.908,4.7e-05,0.108,0.578,180.114,176000,4
Турция,4l6TpJ4tOAfCCrODr7JRbK,Mert,Street Fighter,0.788,0.603,2,-6.55,1,0.437,0.0551,0.0,0.1,0.716,158.04,172280,4
Турция,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280,4
Турция,7jPUGtOJTHPxIlWNGVqD8U,Motive,KÂR,0.685,0.609,5,-6.493,1,0.108,0.113,0.000503,0.222,0.35,170.078,162353,4
Турция,7wiH21gbKBxrUPyFS0L1Ru,Hirai Zerdüş,Ben Bilmezdim Renkleri,0.718,0.364,4,-12.85,1,0.0574,0.912,0.000948,0.104,0.578,84.936,221466,4
Турция,7gqEPgBNP7axDqA8RBqer2,Kallicho,Gözler Yalan Söylemez,0.663,0.696,7,-6.932,1,0.217,0.205,0.353,0.436,0.362,105.027,100264,4
Турция,4oNFpReTeO8DlVcdJINHsX,Funda Arar,Yediverenim,0.491,0.76,5,-5.749,1,0.162,0.668,0.0,0.103,0.616,159.952,205200,4
Украина,3BtXgurV7Xz7SuJv2mfBSQ,Сны Саламандры,Экзорцизм,0.564,0.668,2,-8.353,0,0.0529,0.253,0.0,0.112,0.257,120.446,166000,4
