,country,track_id,artist_id,artist,title,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,artist_popularity,artist_followers
44,Ирландия,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,shiver pop,87,2523802
45,Италия,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,gauze pop,87,2523802
46,Италия,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,indietronica,87,2523802
47,Италия,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,shiver pop,87,2523802
48,Канада,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,gauze pop,87,2523802
49,Канада,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,indietronica,87,2523802
50,Канада,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,shiver pop,87,2523802
51,Малайзия,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,gauze pop,87,2523802
52,Малайзия,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,indietronica,87,2523802
53,Малайзия,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,Heat Waves,95,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0,shiver pop,87,2523802
